respondent_id,city,age_bracket,income_bracket,primary_barrier,ambivalence_score,would_consider_ev_next_purchase,open_response
R0001,Coimbatore,18-24,10-20L,Lack of local service centers,2.9,False,I'd consider it if there were more charging points near my office.
R0002,Raipur,45-54,<5L,Upfront cost,3.3,True,Seems fine for city use but not for visiting family in the village.
R0003,Nagpur,55+,<5L,Charging infrastructure,4.2,False,Resale market for EVs here is basically nonexistent right now.
R0004,Nagpur,25-34,10-20L,Lack of local service centers,3.5,True,Resale market for EVs here is basically nonexistent right now.
R0005,Kochi,18-24,5-10L,Range anxiety,2.1,False,"Actually pretty happy with the idea, just waiting for more model options."
R0006,Nagpur,18-24,5-10L,Range anxiety,2.6,True,
R0007,Jaipur,35-44,10-20L,Range anxiety,3.3,False,Seems fine for city use but not for visiting family in the village.
R0008,Indore,18-24,10-20L,Upfront cost,2.1,False,
R0009,Coimbatore,45-54,5-10L,Charging infrastructure,2.5,True,"Actually pretty happy with the idea, just waiting for more model options."
R0010,Kochi,18-24,10-20L,Lack of local service centers,5.0,False,"Actually pretty happy with the idea, just waiting for more model options."
R0011,Jaipur,18-24,10-20L,Range anxiety,1.5,True,
R0012,Jaipur,35-44,20L+,Charging infrastructure,3.1,True,Price difference vs petrol car is still too high for me.
R0013,Jaipur,25-34,<5L,Range anxiety,3.0,False,
R0014,Nagpur,25-34,20L+,Upfront cost,2.9,True,Resale market for EVs here is basically nonexistent right now.
R0015,Indore,25-34,20L+,Range anxiety,3.6,True,Price difference vs petrol car is still too high for me.
R0016,Jaipur,45-54,5-10L,Range anxiety,3.9,False,My cousin bought one and complains about long charging waits on highways.
R0017,Nagpur,55+,5-10L,Upfront cost,3.2,False,Price difference vs petrol car is still too high for me.
R0018,Coimbatore,35-44,10-20L,Upfront cost,3.8,False,My cousin bought one and complains about long charging waits on highways.
R0019,Jaipur,45-54,20L+,Resale value uncertainty,4.3,False,Resale market for EVs here is basically nonexistent right now.
R0020,Bhubaneswar,45-54,<5L,Range anxiety,2.7,True,Seems fine for city use but not for visiting family in the village.
R0021,Nagpur,18-24,<5L,Lack of local service centers,2.7,False,My cousin bought one and complains about long charging waits on highways.
R0022,Raipur,18-24,<5L,Upfront cost,3.3,False,Seems fine for city use but not for visiting family in the village.
R0023,Raipur,45-54,<5L,Range anxiety,1.6,False,Worried about battery replacement cost after a few years.
R0024,Indore,45-54,20L+,Range anxiety,1.4,False,Price difference vs petrol car is still too high for me.
R0025,Nagpur,25-34,<5L,Upfront cost,3.1,False,Seems fine for city use but not for visiting family in the village.
R0026,Raipur,18-24,10-20L,Range anxiety,1.6,False,Worried about battery replacement cost after a few years.
R0027,Jaipur,25-34,10-20L,Resale value uncertainty,1.1,True,Seems fine for city use but not for visiting family in the village.
R0028,Raipur,25-34,5-10L,Resale value uncertainty,2.9,False,Resale market for EVs here is basically nonexistent right now.
R0029,Jaipur,18-24,10-20L,Resale value uncertainty,3.4,False,
R0030,Coimbatore,35-44,20L+,Upfront cost,4.1,False,"Actually pretty happy with the idea, just waiting for more model options."
R0031,Coimbatore,45-54,<5L,Upfront cost,3.9,False,
R0032,Jaipur,18-24,20L+,Range anxiety,3.7,False,Seems fine for city use but not for visiting family in the village.
R0033,Bhubaneswar,45-54,20L+,Resale value uncertainty,1.9,True,Resale market for EVs here is basically nonexistent right now.
R0034,Jaipur,25-34,5-10L,Lack of local service centers,3.6,False,I'd consider it if there were more charging points near my office.
R0035,Kochi,55+,20L+,Charging infrastructure,1.8,False,"Actually pretty happy with the idea, just waiting for more model options."
R0036,Kochi,18-24,<5L,Range anxiety,3.4,True,My cousin bought one and complains about long charging waits on highways.
R0037,Bhubaneswar,25-34,10-20L,Lack of local service centers,3.7,True,Seems fine for city use but not for visiting family in the village.
R0038,Indore,45-54,5-10L,Charging infrastructure,4.8,True,I'd consider it if there were more charging points near my office.
R0039,Jaipur,45-54,5-10L,Range anxiety,1.9,False,My cousin bought one and complains about long charging waits on highways.
R0040,Raipur,25-34,<5L,Range anxiety,3.4,False,My cousin bought one and complains about long charging waits on highways.
R0041,Kochi,55+,20L+,Upfront cost,2.8,True,Worried about battery replacement cost after a few years.
R0042,Raipur,18-24,<5L,Upfront cost,2.8,True,
R0043,Raipur,55+,5-10L,Upfront cost,3.4,False,Price difference vs petrol car is still too high for me.
R0044,Bhubaneswar,55+,5-10L,Range anxiety,2.9,False,Price difference vs petrol car is still too high for me.
R0045,Raipur,45-54,20L+,Resale value uncertainty,3.4,False,"Actually pretty happy with the idea, just waiting for more model options."
R0046,Nagpur,25-34,10-20L,Charging infrastructure,4.0,False,Worried about battery replacement cost after a few years.
R0047,Indore,25-34,20L+,Upfront cost,2.8,True,Seems fine for city use but not for visiting family in the village.
R0048,Jaipur,45-54,5-10L,Lack of local service centers,1.8,True,Seems fine for city use but not for visiting family in the village.
R0049,Kochi,35-44,10-20L,Charging infrastructure,4.0,False,Worried about battery replacement cost after a few years.
R0050,Jaipur,45-54,20L+,Range anxiety,3.1,False,I'd consider it if there were more charging points near my office.
